seconds,value
260,334
259,335
258,335
257,335
256,336
255,336
254,336
253,337
252,337
251,337
250,338
249,338
248,338
247,338
246,339
245,339
244,339
243,339
242,340
241,340
240,340
239,341
238,341
237,341
236,342
235,342
234,342
233,343
232,343
231,343
230,343
229,344
228,344
227,344
226,345
225,345
224,346
223,346
222,345
221,346
220,346
219,347
218,347
217,347
216,348
215,347
214,348
213,348
212,349
211,349
210,349
209,350
208,350
207,350
206,351
205,351
204,351
203,351
202,352
201,352
200,352
199,352
198,353
197,353
196,353
195,354
194,354
193,354
192,355
191,354
190,355
189,356
188,356
187,356
186,356
185,357
184,357
183,358
182,358
181,358
180,359
179,359
178,359
177,359
176,360
175,360
174,361
173,360
172,361
171,361
170,362
169,362
168,362
167,362
166,363
165,363
164,363
163,364
162,364
161,365
160,365
159,365
158,365
157,366
156,366
155,366
154,367
153,367
152,367
151,368
150,368
149,368
148,368
147,369
146,370
145,370
144,370
143,370
142,370
141,371
140,371
139,371
138,372
137,371
136,372
135,372
134,373
133,373
132,374
131,374
130,374
129,374
128,375
127,375
126,375
125,376
124,376
123,376
122,377
121,377
120,377
119,377
118,378
117,378
116,378
115,379
114,379
113,379
112,380
111,380
110,380
109,380
108,380
107,381
106,381
105,382
104,382
103,382
102,382
101,383
100,383
99,383
98,384
97,384
96,384
95,384
94,385
93,385
92,386
91,386
90,386
89,386
88,387
87,387
86,388
85,388
84,388
83,389
82,389
81,389
80,390
79,390
78,390
77,391
76,391
75,391
74,392
73,392
72,393
71,392
70,393
69,393
68,394
67,394
66,394
65,395
64,395
63,395
62,395
61,396
60,396
59,397
58,397
57,397
56,398
55,398
54,398
53,399
52,399
51,399
50,399
49,400
48,400
47,400
46,401
45,401
44,402
43,402
42,402
41,402
40,403
39,403
38,404
37,404
36,405
35,404
34,405
33,405
32,405
31,406
30,406
29,407
28,407
27,407
26,407
25,408
24,408
23,408
22,409
21,409
20,409
19,409
18,410
17,410
16,411
15,411
14,411
13,412
12,412
11,412
10,413
9,413
8,413
7,413
6,414
5,414
4,414
3,415
2,415
1,415
0,417
