seconds,value
265,369
264,369
263,367
262,366
261,367
260,367
259,368
258,367
257,368
256,368
255,368
254,368
253,368
252,369
251,369
250,369
249,370
248,369
247,370
246,370
245,371
244,370
243,371
242,371
241,371
240,371
239,372
238,372
237,372
236,372
235,373
234,373
233,373
232,373
231,374
230,374
229,374
228,374
227,375
226,375
225,375
224,375
223,375
222,376
221,376
220,376
219,376
218,376
217,377
216,377
215,377
214,377
213,378
212,378
211,378
210,378
209,379
208,379
207,379
206,379
205,380
204,380
203,380
202,380
201,381
200,380
199,381
198,382
197,382
196,382
195,382
194,382
193,382
192,383
191,383
190,383
189,383
188,383
187,384
186,384
185,384
184,384
183,385
182,385
181,385
180,385
179,385
178,386
177,386
176,386
175,386
174,387
173,387
172,387
171,387
170,387
169,388
168,388
167,388
166,388
165,389
164,389
163,389
162,390
161,390
160,391
159,391
158,391
157,391
156,392
155,392
154,393
153,393
152,393
151,393
150,393
149,394
148,394
147,394
146,394
145,395
144,395
143,395
142,395
141,396
140,396
139,396
138,396
137,396
136,397
135,397
134,397
133,398
132,398
131,398
130,398
129,398
128,399
127,399
126,399
125,399
124,399
123,399
122,400
121,400
120,400
119,400
118,401
117,401
116,401
115,401
114,402
113,402
112,402
111,403
110,403
109,403
108,403
107,404
106,404
105,404
104,404
103,405
102,405
101,405
100,405
99,406
98,406
97,406
96,406
95,406
94,407
93,407
92,407
91,407
90,408
89,408
88,408
87,408
86,408
85,409
84,409
83,409
82,409
81,410
80,410
79,410
78,410
77,410
76,411
75,411
74,411
73,411
72,412
71,412
70,412
69,412
68,412
67,413
66,413
65,414
64,413
63,414
62,414
61,414
60,414
59,415
58,415
57,415
56,415
55,416
54,416
53,416
52,416
51,417
50,417
49,417
48,417
47,418
46,419
45,418
44,419
43,419
42,419
41,419
40,420
39,420
38,420
37,420
36,421
35,421
34,421
33,421
32,421
31,422
30,422
29,422
28,422
27,423
26,423
25,423
24,423
23,423
22,424
21,424
20,424
19,424
18,425
17,425
16,425
15,425
14,426
13,426
12,426
11,426
10,426
9,426
8,426
7,426
6,426
5,427
4,428
3,428
2,428
1,429
0,430
