Set Flow,perm_flow (gm/min),ret_flow (gm/min),dp (psi),species
300,19.255,262.34,0.25,water
400,25.985,352.685,0.625,water
500,30.64666667,447.1666667,1,water
600,24.4,548.3533333,2,water
700,30.08666667,637.68,2.5,water
500 (1 turn),52.825,403.695,3.75,water
600 (1 turn),71.01333333,772.1433333,6,water
500 (1 1/2 turn),32.43333333,441.2,1.25,water
600 (1 1/2 turn),37.2,532.78,2,water
300,17.275,265.28,0.625,1% peg
400,25.13,354.575,1.25,1% peg
500,29.61333333,449.3866667,1.875,1% peg
600,25.56666667,544.3933333,3,1% peg
700,33.48,643.55,3.5,1% peg
500 (1 turn),53.88,402.545,5.25,1% peg
600 (1 turn),61.74624698,503.346,6.625,1% peg
500 (1 1/2 turn),32.725,437.695,2.5,1% peg
600 (1 1/2 turn),38.81714286,530.2971429,3,1% peg
300,29.83333333,274.34,1.25,1.5% peg
400,33.98,366.9,2.5,1.5% peg
500,48.15,455.99,3,1.5% peg
600,32.33,499.9,3.5,1.5% peg
700,39.208,648.944,5,1.5% peg
500 (1 turn),52.75,401.46,8,1.5% peg
600 (1 turn),66.58,477.92,9.25,1.5% peg
500 (1 1/2 turn),33.6,434.6466667,3.5,1.5% peg
600 (1 1/2 turn),52.21,528.37,4.5,1.5% peg
