seconds,value
249,242
248,242
247,242
246,243
245,243
244,244
243,244
242,243
241,244
240,244
239,245
238,245
237,245
236,246
235,245
234,246
233,246
232,247
231,247
230,247
229,248
228,248
227,248
226,249
225,249
224,250
223,250
222,250
221,250
220,250
219,252
218,252
217,252
216,252
215,252
214,252
213,253
212,253
211,253
210,253
209,255
208,254
207,255
206,255
205,256
204,255
203,256
202,256
201,256
200,256
199,257
198,257
197,257
196,258
195,257
194,258
193,258
192,259
191,259
190,259
189,260
188,260
187,260
186,261
185,261
184,261
183,261
182,262
181,262
180,262
179,263
178,263
177,263
176,264
175,264
174,264
173,264
172,265
171,265
170,265
169,266
168,266
167,266
166,266
165,266
164,267
163,267
162,268
161,268
160,268
159,268
158,269
157,269
156,269
155,269
154,269
153,270
152,271
151,271
150,271
149,271
148,271
147,272
146,272
145,272
144,272
143,273
142,273
141,273
140,274
139,274
138,275
137,276
136,275
135,276
134,277
133,276
132,277
131,277
130,278
129,278
128,278
127,278
126,279
125,279
124,279
123,280
122,280
121,281
120,280
119,281
118,281
117,281
116,282
115,282
114,282
113,282
112,282
111,282
110,283
109,284
108,283
107,284
106,284
105,285
104,285
103,285
102,286
101,286
100,286
99,287
98,287
97,287
96,287
95,288
94,288
93,289
92,289
91,290
90,290
89,290
88,290
87,291
86,291
85,292
84,292
83,292
82,293
81,293
80,293
79,293
78,293
77,295
76,294
75,294
74,295
73,295
72,296
71,296
70,296
69,297
68,297
67,297
66,297
65,298
64,299
63,299
62,299
61,299
60,300
59,300
58,301
57,301
56,301
55,301
54,302
53,302
52,303
51,302
50,303
49,303
48,304
47,304
46,304
45,305
44,305
43,305
42,306
41,305
40,306
39,307
38,307
37,307
36,307
35,308
34,308
33,309
32,309
31,309
30,310
29,310
28,310
27,310
26,311
25,311
24,312
23,312
22,312
21,313
20,313
19,313
18,314
17,314
16,315
15,315
14,315
13,316
12,316
11,316
10,317
9,317
8,318
7,317
6,320
5,320
4,321
3,321
2,322
1,322
0,323
