seconds,value
261,297
260,297
259,298
258,298
257,298
256,298
255,299
254,299
253,299
252,300
251,300
250,300
249,301
248,301
247,301
246,301
245,302
244,302
243,302
242,303
241,303
240,304
239,304
238,304
237,304
236,305
235,305
234,306
233,306
232,306
231,307
230,307
229,307
228,307
227,308
226,308
225,308
224,309
223,309
222,309
221,309
220,311
219,310
218,311
217,311
216,311
215,312
214,312
213,313
212,313
211,313
210,314
209,314
208,314
207,315
206,315
205,316
204,315
203,316
202,316
201,317
200,317
199,317
198,317
197,318
196,318
195,318
194,319
193,319
192,319
191,320
190,320
189,321
188,321
187,321
186,321
185,321
184,322
183,323
182,323
181,324
180,324
179,324
178,324
177,324
176,325
175,326
174,326
173,326
172,326
171,327
170,327
169,328
168,328
167,328
166,328
165,329
164,329
163,329
162,330
161,330
160,330
159,330
158,331
157,331
156,332
155,332
154,332
153,333
152,333
151,333
150,334
149,334
148,334
147,335
146,335
145,335
144,336
143,336
142,336
141,336
140,337
139,337
138,337
137,338
136,338
135,338
134,339
133,339
132,340
131,340
130,340
129,341
128,341
127,341
126,341
125,342
124,342
123,342
122,343
121,343
120,344
119,344
118,344
117,345
116,345
115,345
114,346
113,346
112,346
111,347
110,347
109,347
108,347
107,348
106,348
105,349
104,349
103,349
102,350
101,350
100,350
99,351
98,351
97,352
96,352
95,352
94,352
93,353
92,353
91,353
90,354
89,354
88,354
87,354
86,355
85,355
84,355
83,356
82,357
81,356
80,357
79,357
78,358
77,358
76,358
75,359
74,359
73,360
72,360
71,360
70,360
69,361
68,361
67,362
66,362
65,362
64,362
63,363
62,363
61,363
60,364
59,364
58,365
57,365
56,365
55,366
54,366
53,366
52,367
51,367
50,367
49,368
48,368
47,368
46,369
45,369
44,369
43,370
42,370
41,371
40,371
39,371
38,372
37,372
36,372
35,373
34,373
33,373
32,374
31,374
30,375
29,375
28,375
27,375
26,376
25,376
24,377
23,377
22,377
21,378
20,378
19,378
18,378
17,379
16,380
15,380
14,380
13,380
12,381
11,381
10,382
9,382
8,382
7,383
6,383
5,384
4,384
3,384
2,385
1,385
0,386
