seconds,value
308,342
307,342
306,342
305,342
304,343
303,343
302,343
301,343
300,343
299,344
298,344
297,344
296,345
295,345
294,345
293,346
292,346
291,346
290,346
289,347
288,347
287,347
286,347
285,348
284,348
283,348
282,349
281,349
280,349
279,350
278,349
277,350
276,350
275,350
274,351
273,351
272,351
271,352
270,352
269,352
268,352
267,353
266,353
265,353
264,353
263,354
262,354
261,354
260,355
259,355
258,355
257,355
256,356
255,356
254,356
253,357
252,357
251,357
250,357
249,358
248,358
247,358
246,359
245,359
244,359
243,359
242,359
241,360
240,360
239,360
238,361
237,361
236,361
235,361
234,362
233,362
232,362
231,363
230,363
229,364
228,364
227,364
226,365
225,365
224,365
223,365
222,365
221,366
220,366
219,366
218,367
217,367
216,367
215,367
214,368
213,368
212,368
211,368
210,369
209,369
208,369
207,369
206,370
205,370
204,371
203,371
202,371
201,371
200,372
199,372
198,372
197,372
196,373
195,373
194,374
193,374
192,374
191,374
190,375
189,375
188,375
187,375
186,375
185,376
184,376
183,376
182,377
181,377
180,377
179,378
178,378
177,379
176,378
175,379
174,379
173,380
172,380
171,380
170,380
169,381
168,382
167,382
166,382
165,382
164,371
163,371
162,371
161,372
160,372
159,372
158,373
157,372
156,373
155,373
154,373
153,374
152,374
151,374
150,375
149,375
148,376
147,376
146,376
145,376
144,377
143,377
142,377
141,377
140,377
139,378
138,378
137,378
136,378
135,379
134,379
133,380
132,380
131,380
130,380
129,381
128,381
127,381
126,381
125,382
124,382
123,383
122,383
121,384
120,384
119,384
118,384
117,384
116,384
115,385
114,385
113,386
112,386
111,386
110,386
109,387
108,387
107,387
106,388
105,388
104,388
103,389
102,389
101,390
100,390
99,390
98,390
97,390
96,391
95,391
94,391
93,392
92,392
91,392
90,392
89,392
88,393
87,393
86,393
85,394
84,394
83,395
82,395
81,395
80,396
79,396
78,397
77,398
76,397
75,398
74,398
73,398
72,399
71,399
70,399
69,400
68,400
67,400
66,401
65,401
64,401
63,402
62,402
61,402
60,402
59,403
58,403
57,404
56,404
55,404
54,404
53,405
52,405
51,405
50,406
49,406
48,406
47,407
46,407
45,408
44,408
43,408
42,408
41,409
40,409
39,409
38,410
37,410
36,410
35,411
34,411
33,411
32,411
31,412
30,412
29,412
28,413
27,413
26,413
25,414
24,414
23,414
22,414
21,415
20,415
19,415
18,416
17,416
16,416
15,417
14,417
13,418
12,418
11,418
10,418
9,419
8,419
7,419
6,420
5,420
4,420
3,421
2,421
1,420
0,420
