seconds,value
250,396
249,396
248,396
247,396
246,397
245,397
244,397
243,397
242,397
241,397
240,397
239,398
238,398
237,398
236,398
235,398
234,398
233,398
232,398
231,399
230,399
229,399
228,399
227,399
226,399
225,399
224,400
223,400
222,400
221,400
220,400
219,400
218,400
217,400
216,401
215,401
214,401
213,401
212,401
211,402
210,402
209,402
208,402
207,403
206,402
205,402
204,403
203,403
202,403
201,404
200,404
199,404
198,404
197,404
196,404
195,404
194,404
193,404
192,404
191,405
190,405
189,405
188,405
187,405
186,405
185,406
184,406
183,406
182,406
181,406
180,406
179,406
178,407
177,407
176,407
175,407
174,407
173,408
172,408
171,408
170,408
169,408
168,408
167,408
166,409
165,409
164,409
163,409
162,410
161,410
160,410
159,410
158,410
157,410
156,410
155,410
154,410
153,411
152,411
151,411
150,411
149,411
148,411
147,412
146,412
145,412
144,412
143,413
142,412
141,413
140,413
139,413
138,413
137,414
136,414
135,414
134,414
133,414
132,414
131,414
130,414
129,415
128,415
127,415
126,415
125,415
124,416
123,416
122,416
121,416
120,416
119,416
118,416
117,417
116,417
115,417
114,417
113,417
112,417
111,418
110,418
109,418
108,418
107,418
106,418
105,418
104,418
103,419
102,419
101,419
100,419
99,419
98,420
97,420
96,420
95,420
94,420
93,420
92,421
91,421
90,421
89,421
88,421
87,422
86,422
85,422
84,422
83,422
82,422
81,423
80,423
79,423
78,423
77,423
76,423
75,423
74,424
73,424
72,424
71,424
70,424
69,425
68,425
67,425
66,425
65,425
64,425
63,425
62,426
61,426
60,426
59,426
58,426
57,426
56,427
55,427
54,427
53,427
52,427
51,428
50,428
49,428
48,428
47,428
46,428
45,429
44,429
43,429
42,429
41,429
40,429
39,430
38,430
37,430
36,430
35,430
34,431
33,431
32,431
31,431
30,431
29,431
28,431
27,432
26,432
25,432
24,432
23,432
22,432
21,433
20,433
19,433
18,433
17,433
16,434
15,434
14,434
13,434
12,434
11,434
10,434
9,435
8,435
7,435
6,435
5,435
4,436
3,436
2,435
1,435
0,437
