seconds,value
244,478
243,478
242,478
241,478
240,478
239,478
238,478
237,478
236,478
235,478
234,478
233,478
232,479
231,479
230,479
229,479
228,479
227,479
226,479
225,479
224,479
223,479
222,479
221,479
220,479
219,480
218,480
217,480
216,480
215,480
214,480
213,480
212,480
211,480
210,480
209,480
208,480
207,480
206,480
205,480
204,480
203,481
202,481
201,481
200,481
199,481
198,481
197,481
196,481
195,481
194,481
193,481
192,481
191,481
190,481
189,481
188,482
187,482
186,482
185,482
184,482
183,482
182,482
181,482
180,482
179,482
178,482
177,483
176,483
175,483
174,483
173,483
172,483
171,483
170,483
169,483
168,483
167,483
166,483
165,484
164,484
163,483
162,484
161,484
160,484
159,484
158,484
157,484
156,484
155,484
154,485
153,484
152,484
151,485
150,485
149,485
148,485
147,485
146,485
145,485
144,485
143,485
142,485
141,485
140,486
139,485
138,485
137,485
136,486
135,486
134,486
133,486
132,486
131,486
130,486
129,486
128,486
127,486
126,486
125,487
124,487
123,487
122,487
121,487
120,487
119,487
118,487
117,487
116,487
115,488
114,488
113,488
112,488
111,488
110,488
109,488
108,488
107,488
106,488
105,488
104,488
103,488
102,489
101,489
100,489
99,489
98,489
97,490
96,489
95,489
94,490
93,490
92,490
91,490
90,491
89,491
88,491
87,490
86,491
85,491
84,491
83,491
82,491
81,491
80,490
79,491
78,492
77,492
76,492
75,492
74,492
73,492
72,492
71,492
70,492
69,492
68,492
67,492
66,492
65,492
64,492
63,492
62,492
61,492
60,492
59,492
58,493
57,492
56,493
55,492
54,492
53,492
52,492
51,493
50,493
49,493
48,493
47,493
46,493
45,493
44,493
43,493
42,494
41,494
40,494
39,494
38,494
37,494
36,494
35,495
34,494
33,495
32,495
31,496
30,495
29,496
28,496
27,496
26,496
25,497
24,496
23,496
22,496
21,496
20,496
19,497
18,497
17,497
16,497
15,497
14,497
13,498
12,498
11,498
10,498
9,498
8,498
7,498
6,498
5,498
4,499
3,499
2,499
1,499
0,500
