seconds,value
243,493
242,493
241,493
240,493
239,494
238,494
237,494
236,494
235,494
234,494
233,494
232,494
231,494
230,494
229,495
228,495
227,494
226,495
225,494
224,494
223,495
222,494
221,494
220,495
219,495
218,495
217,495
216,495
215,495
214,495
213,495
212,495
211,495
210,495
209,495
208,495
207,495
206,496
205,496
204,495
203,496
202,496
201,496
200,496
199,496
198,496
197,496
196,496
195,496
194,496
193,496
192,496
191,496
190,496
189,496
188,497
187,497
186,497
185,497
184,497
183,497
182,497
181,497
180,497
179,497
178,497
177,497
176,497
175,497
174,497
173,497
172,497
171,497
170,498
169,498
168,498
167,498
166,498
165,498
164,498
163,498
162,498
161,498
160,498
159,498
158,498
157,498
156,498
155,498
154,498
153,499
152,499
151,499
150,499
149,499
148,499
147,499
146,499
145,499
144,499
143,499
142,499
141,499
140,499
139,499
138,499
137,499
136,500
135,500
134,500
133,500
132,500
131,500
130,500
129,500
128,500
127,500
126,500
125,500
124,500
123,500
122,501
121,501
120,501
119,501
118,501
117,501
116,501
115,501
114,501
113,501
112,501
111,501
110,501
109,501
108,501
107,501
106,501
105,502
104,502
103,502
102,502
101,502
100,502
99,502
98,502
97,502
96,502
95,502
94,502
93,503
92,503
91,503
90,503
89,503
88,503
87,503
86,503
85,503
84,503
83,503
82,503
81,503
80,503
79,503
78,504
77,504
76,504
75,504
74,504
73,504
72,504
71,504
70,504
69,504
68,504
67,505
66,504
65,505
64,505
63,505
62,505
61,505
60,505
59,505
58,505
57,505
56,505
55,505
54,505
53,505
52,506
51,505
50,506
49,506
48,506
47,506
46,506
45,506
44,506
43,506
42,506
41,506
40,506
39,506
38,506
37,507
36,506
35,507
34,507
33,507
32,507
31,507
30,507
29,507
28,507
27,507
26,507
25,507
24,508
23,508
22,508
21,508
20,508
19,508
18,508
17,508
16,508
15,508
14,508
13,508
12,508
11,508
10,509
9,509
8,509
7,509
6,509
5,509
4,509
3,509
2,510
1,510
0,511
