seconds,value
249,494
248,495
247,495
246,495
245,495
244,495
243,495
242,495
241,495
240,495
239,495
238,495
237,495
236,495
235,495
234,495
233,495
232,496
231,496
230,496
229,496
228,496
227,496
226,496
225,496
224,496
223,496
222,496
221,496
220,496
219,496
218,496
217,496
216,496
215,497
214,496
213,496
212,497
211,497
210,497
209,497
208,497
207,497
206,497
205,497
204,497
203,497
202,497
201,497
200,497
199,497
198,497
197,497
196,497
195,498
194,497
193,497
192,498
191,498
190,498
189,498
188,498
187,498
186,498
185,498
184,498
183,498
182,498
181,498
180,498
179,499
178,499
177,499
176,499
175,499
174,499
173,499
172,499
171,499
170,499
169,499
168,499
167,499
166,499
165,499
164,499
163,499
162,499
161,500
160,500
159,499
158,500
157,500
156,500
155,500
154,500
153,500
152,500
151,500
150,500
149,500
148,500
147,500
146,500
145,500
144,500
143,500
142,501
141,501
140,500
139,501
138,501
137,501
136,501
135,501
134,501
133,501
132,501
131,501
130,501
129,501
128,501
127,501
126,502
125,502
124,502
123,502
122,502
121,502
120,502
119,502
118,502
117,502
116,502
115,502
114,502
113,502
112,502
111,502
110,502
109,503
108,502
107,503
106,503
105,503
104,503
103,503
102,503
101,503
100,503
99,503
98,503
97,503
96,503
95,503
94,503
93,503
92,503
91,503
90,504
89,504
88,504
87,504
86,504
85,504
84,504
83,504
82,504
81,504
80,504
79,504
78,505
77,505
76,505
75,505
74,505
73,505
72,505
71,505
70,505
69,505
68,505
67,505
66,505
65,505
64,505
63,506
62,506
61,505
60,506
59,506
58,506
57,506
56,506
55,506
54,506
53,506
52,506
51,506
50,506
49,506
48,506
47,506
46,506
45,507
44,507
43,507
42,507
41,507
40,507
39,507
38,507
37,507
36,507
35,507
34,508
33,507
32,508
31,508
30,508
29,508
28,508
27,508
26,508
25,508
24,508
23,508
22,509
21,508
20,509
19,509
18,509
17,509
16,509
15,509
14,509
13,509
12,509
11,509
10,509
9,509
8,509
7,509
6,509
5,510
4,510
3,510
2,510
1,510
0,510
