,number of stages,feed stage,reflux ratio,condenser duty (GJ/h),reboiler duty (GJ/h),etox flow (kmol/h),Profit (million_dollars/yr)
1,3,3,6.0,-56.5336825,67.5197583,302.5155960064,30.672499999999985
14,4,3,3.0,-31.5853785,44.3395957,320.0201970308,45.7518
20,5,3,2.0,-23.4593739,36.5921835,324.0056318856,49.57589999999999
29,6,3,1.0,-15.6325465,28.7795645,324.1708124536,50.92010000000002
40,7,5,1.0,-15.6634038,28.8825343,324.9547714112,51.414799999999985
46,8,4,1.0,-15.6914877,28.9863935,325.7928400496,51.94460000000001
54,9,4,1.0,-15.6967756,29.0047112,325.9368807436,52.03569999999999
63,10,5,1.0,-15.704194,29.0331454,326.16742249,52.18150000000003
68,11,5,1.0,-15.7058101,29.0373072,326.198538372,52.2011
84,12,5,1.0,-15.7056472,29.0377605,326.2035060508,52.20429999999999
90,13,5,1.0,-15.7061084,29.0380735,326.2042690788,52.2047
94,14,5,1.0,-15.7057307,29.0378971,326.2043850324,52.20479999999998
98,90,18,12.96,-109.632578,122.964275,326.204406024,37.33989999999997
