Temp,5 degree,10 degree,15 degree,20 degree
141,3532840.11,3684613.13,3835895.45,3986717
142,3394074.01,3541965.37,3689440.81,3836525.72
143,3317593.78,3463386.79,3608806.21,3753874.82
144,3266508.6,3410930.55,3555007.99,3698761.93
145,3229196.95,3372642.44,3515765.33,3658585.29
146,3200494.36,3343210.18,3485620.81,3627744.88
147,3177660.55,3319815.02,3461678.67,3603269.26
148,3159070.81,3300785.75,3442222.05,3583396.71
149,3143685.02,3285052.49,3426151.82,3566999.38
150,3130798.59,3271890.47,3412723.43,3553313.26
151,3119913.04,3260786.94,3401410.11,3541797.82
152,3110663.29,3251366.39,3391826.08,3532057.21
153,3102774.39,3243345.98,3383680.8,3523793.29
154,3096034.33,3236507.65,3376750.24,3516776.17
155,3277040.24,3230679.92,3370858.24,3510825.1
156,3085367.32,3225725.67,3365863.92,3505795.52
157,3081198.87,3221533.6,3361652.98,3501570.13
158,3077682.14,3218012.27,3358131.44,3498052.52
159,3074743.22,3215085.64,3355221.21,3495162.54
160,3072320.04,3212689.88,3352856.71,3492832.91
161,2950382.1,3087858.66,3225211.76,3230211.26
162,2952301.58,3089931.51,3227439.61,3232114.69
163,2954393.59,3092182.2,3229850.52,3234203.71
164,2956644.85,3094597.07,3232430.47,3236463.89
165,2959043.74,3097164.15,3235167.16,3238882.62
166,2961580,3099872.92,3238049.78,3241448.78
167,2964244.59,3102714.06,3241068.76,3244152.52
168,2967029.43,3105679.28,3244215.58,3246985.11
169,2969927.36,3108761.19,3247482.67,3249938.72
170,2972931.92,3111953.17,3250863.21,3253006.37
171,2976037.33,3115249.27,3254351.1,3256181.77
172,2979238.36,3118644.13,3257940.82,3259459.24
173,2982530.31,3122132.88,3261627.4,3262833.65
174,2985908.88,3125711.12,3265406.3,3266300.34
175,2989370.18,3129374.85,3269273.42,3269855.08
176,2992910.66,3133120.43,3273225.01,3273493.99
177,2996527.08,3136944.5,3277257.64,3277213.54
178,3000216.45,3140844.03,3281368.19,3281010.5
179,3022728.9,3144816.2,3285553.76,3284881.89
180,3007803.41,3148858.45,3289811.73,3288824.99
181,3011696.17,3152968.39,3294139.64,3292837.27
182,3015652.22,3157143.85,3298535.27,3296916.41
183,3019669.61,3161382.8,3302996.54,3301060.27
184,3023746.49,3165683.37,3307521.52,3305266.85
185,2989441.06,3130910.44,3272312.72,2908835.77
186,2994262.31,3135978.3,3277627.58,2912586.15
187,2999122.26,3141086.39,3282984.19,2916370
188,3004020.31,3146234.1,3288381.93,2920186.61
189,3008955.92,3151420.87,3293820.22,2924035.32
190,3013928.57,3156646.18,3299298.53,2927915.52
191,3018937.79,3161909.54,3304816.37,2931826.63
192,3023983.16,3167210.51,3310373.28,2935768.11
193,3029064.26,3172548.68,3315968.85,2939739.46
194,3034180.74,3177923.67,3321602.68,2943740.21
195,3039332.24,3183335.14,3327274.43,2947769.93
196,3044518.45,3188782.75,3332983.76,2951828.21
197,3049739.09,3194266.23,3338730.37,2955914.66
198,3054993.88,3199785.28,3344513.99,2960028.92
199,3060282.58,3205339.67,3350334.37,2964170.66
200,3065604.96,3210929.17,3356191.26,2968339.56
201,3070960.82,3216553.56,3362084.47,2972535.33
202,3076349.98,3222212.66,3368013.79,2976757.7
203,3081772.26,3227906.3,3373979.06,2981006.4
204,3087227.5,3233634.31,3379980.11,2985281.19
205,3092715.57,3239396.56,3386016.8,2989581.85
206,3098236.35,3245192.92,3392089.01,2993908.17
207,3103789.71,3251023.29,3398196.62,2998259.96
208,3109375.56,3256887.55,3404339.54,3002637.02
209,3114993.82,3262785.62,3410517.67,3007039.18
210,3120644.4,3268717.43,3416730.95,3011466.29
211,3126327.25,3274682.91,3422979.31,3015918.19
212,3132042.3,3280682.02,3429262.7,3020394.76
213,3137789.52,3286714.7,3435581.08,3024895.85
214,3143568.86,3292780.93,3441934.42,3029421.35
215,3149380.31,3298880.67,3448322.7,3033971.16
216,3155223.84,3305013.93,3454745.89,3038545.16
217,3161099.44,3311180.68,3461204.01,3043143.27
218,3167007.12,3317380.94,3467697.06,3047765.4
219,3172946.88,3323614.7,3474225.04,3052411.47
220,3178918.73,3329881.99,3480787.98,3057081.41
221,3184922.69,3336182.84,3487385.91,3061775.16
222,3190958.8,3342517.26,3494018.86,3066492.66
