Selling Price,Widgets Demand,Gadgets Demand,Gizmos Demand,Snarfblatts demand
40,250000,180000,250000,120000
41,249500,171000,249000,114000
42,249000,162500,248000,108000
43,248500,154000,247000,103000
44,248000,146700,246000,98000
45,247500,139400,245000,93000
46,247000,132400,244000,88000
47,246500,125800,243000,84000
48,246000,119500,242000,80000
49,245500,113500,241000,76000
50,245000,107800,240000,72000
51,244500,102400,239000,68000
52,244000,97300,238000,65000
53,243500,92400,237000,62000
54,243000,87800,236000,59000
55,242500,83400,235000,56000
56,242000,79200,234000,53000
57,241500,75200,233000,50000
58,241000,71400,232000,48000
59,240500,67800,231000,46000
60,240000,64400,230000,44000
61,239500,61200,229000,42000
62,239000,58100,228000,40000
63,238500,55200,227000,38000
64,238000,52400,226000,36000
65,237500,49800,225000,34000
66,237000,47300,224000,32000
67,236500,44900,223000,30000
68,236000,42700,222000,29000
69,235500,40600,221000,28000
70,235000,38600,220000,27000
71,234500,36700,219000,26000
