Sale Price,Hwaleksium,Desistothium,Schwartzinium
50,50000,72000,35000
51,45800,67000,33250
52,47000,62000,31500
53,46000,58000,29750
54,45000,54000,28250
55,44000,50000,26750
56,43000,47000,25250
57,42000,44000,23750
58,41000,41000,22500
59,40000,38000,21250
60,39000,35000,20000
61,38000,33000,18750
62,37000,31000,17500
63,36000,29000,16250
64,35000,27000,15000
65,34000,25000,13750
66,33000,23000,12500
67,32000,21000,11250
68,31000,20000,10000
69,30000,19000,8750
70,29000,18000,7500
71,28000,17000,6250
72,27000,16000,5000
73,26000,15000,3750
74,25000,14000,2500
75,24000,13000,1250
