seconds,value
335,327
334,327
333,328
332,328
331,328
330,329
329,329
328,329
327,330
326,330
325,330
324,331
323,330
322,331
321,331
320,331
319,332
318,332
317,332
316,332
315,333
314,333
313,333
312,333
311,334
310,334
309,334
308,335
307,335
306,335
305,335
304,336
303,336
302,336
301,336
300,336
299,337
298,337
297,338
296,338
295,338
294,339
293,339
292,339
291,339
290,339
289,340
288,340
287,340
286,340
285,341
284,341
283,341
282,341
281,342
280,342
279,342
278,343
277,343
276,343
275,343
274,344
273,344
272,345
271,345
270,345
269,345
268,345
267,346
266,346
265,347
264,347
263,347
262,347
261,347
260,347
259,348
258,348
257,349
256,349
255,349
254,349
253,350
252,350
251,351
250,350
249,351
248,351
247,351
246,352
245,352
244,352
243,353
242,353
241,353
240,353
239,354
238,354
237,354
236,354
235,355
234,355
233,355
232,356
231,355
230,356
229,357
228,356
227,357
226,357
225,358
224,358
223,358
222,358
221,358
220,359
219,359
218,359
217,360
216,361
215,361
214,360
213,361
212,361
211,361
210,361
209,362
208,362
207,363
206,363
205,363
204,363
203,363
202,364
201,364
200,364
199,365
198,365
197,366
196,366
195,366
194,366
193,367
192,367
191,367
190,367
189,368
188,368
187,368
186,369
185,369
184,370
183,369
182,369
181,370
180,371
179,370
178,371
177,371
176,372
175,372
174,372
173,373
172,373
171,373
170,374
169,373
168,374
167,374
166,374
165,374
164,375
163,375
162,375
161,376
160,376
159,376
158,377
157,377
156,377
155,377
154,377
153,378
152,379
151,379
150,379
149,379
148,379
147,380
146,380
145,380
144,381
143,381
142,381
141,382
140,382
139,382
138,382
137,383
136,383
135,383
134,384
133,384
132,385
131,384
130,385
129,385
128,386
127,386
126,386
125,386
124,387
123,387
122,387
121,387
120,387
119,388
118,388
117,388
116,389
115,389
114,389
113,390
112,390
111,390
110,391
109,391
108,392
107,392
106,392
105,393
104,392
103,393
102,393
101,393
100,394
99,393
98,394
97,395
96,395
95,395
94,395
93,396
92,396
91,396
90,397
89,397
88,397
87,397
86,397
85,398
84,398
83,399
82,399
81,399
80,400
79,400
78,400
77,400
76,401
75,401
74,401
73,402
72,402
71,403
70,403
69,403
68,403
67,404
66,403
65,404
64,404
63,405
62,405
61,405
60,405
59,406
58,406
57,407
56,407
55,407
54,408
53,408
52,408
51,409
50,408
49,409
48,409
47,410
46,409
45,410
44,410
43,411
42,411
41,412
40,412
39,412
38,412
37,412
36,413
35,413
34,414
33,414
32,414
31,415
30,415
29,415
28,415
27,416
26,416
25,416
24,417
23,417
22,417
21,418
20,418
19,418
18,418
17,419
16,419
15,420
14,420
13,420
12,420
11,421
10,421
9,422
8,421
7,422
6,422
5,423
4,423
3,423
2,423
1,424
0,425
